      0.7071      -0.7071
      0.7444      -0.7189
      0.7824      -0.7296
      0.8208      -0.7391
      0.8597      -0.7474
      0.8991      -0.7544
      0.9387      -0.7602
      0.9786      -0.7646
      1.0188      -0.7677
      1.0590      -0.7694
      1.0993      -0.7698
      1.1396      -0.7687
      1.1798      -0.7662
      1.2198      -0.7622
      1.2596      -0.7568
      1.2990      -0.7500
      1.3381      -0.7417
      1.3767      -0.7320
      1.4147      -0.7208
      1.4521      -0.7083
      1.4889      -0.6943
      1.5248      -0.6789
      1.5599      -0.6622
      1.5941      -0.6441
      1.6274      -0.6247
      1.6595      -0.6040
      1.6906      -0.5821
      1.7205      -0.5590
      1.7491      -0.5348
      1.7765      -0.5094
      1.8024      -0.4830
      1.8270      -0.4555
      1.8501      -0.4271
      1.8717      -0.3978
      1.8918      -0.3677
      1.9102      -0.3368
      1.9270      -0.3052
      1.9422      -0.2730
      1.9556      -0.2401
      1.9673      -0.2068
      1.9773      -0.1730
      1.9854      -0.1388
      1.9918      -0.1044
      1.9963      -0.0697
      1.9991      -0.0349
      2.0000       0.0000
      1.9991       0.0349
      1.9963       0.0697
      1.9918       0.1044
      1.9854       0.1388
      1.9773       0.1730
      1.9673       0.2068
      1.9556       0.2401
      1.9422       0.2730
      1.9270       0.3052
      1.9102       0.3368
      1.8918       0.3677
      1.8717       0.3978
      1.8501       0.4271
      1.8270       0.4555
      1.8024       0.4830
      1.7765       0.5094
      1.7491       0.5348
      1.7205       0.5590
      1.6906       0.5821
      1.6595       0.6040
      1.6274       0.6247
      1.5941       0.6441
      1.5599       0.6622
      1.5248       0.6789
      1.4889       0.6943
      1.4521       0.7083
      1.4147       0.7208
      1.3767       0.7320
      1.3381       0.7417
      1.2990       0.7500
      1.2596       0.7568
      1.2198       0.7622
      1.1798       0.7662
      1.1396       0.7687
      1.0993       0.7698
      1.0590       0.7694
      1.0188       0.7677
      0.9786       0.7646
      0.9387       0.7602
      0.8991       0.7544
      0.8597       0.7474
      0.8208       0.7391
      0.7824       0.7296
      0.7444       0.7189
      0.7071       0.7071
      1.0000       0.0000
      0.9848       0.1736
      0.9397       0.3420
      0.8660       0.5000
      0.7660       0.6428
      0.6428       0.7660
      0.5000       0.8660
      0.3420       0.9397
      0.1736       0.9848
      0.0000       1.0000
     -0.1736       0.9848
     -0.3420       0.9397
     -0.5000       0.8660
     -0.6428       0.7660
     -0.7660       0.6428
     -0.8660       0.5000
     -0.9397       0.3420
     -0.9848       0.1736
     -1.0000       0.0000
     -0.9848      -0.1736
     -0.9397      -0.3420
     -0.8660      -0.5000
     -0.7660      -0.6428
     -0.6428      -0.7660
     -0.5000      -0.8660
     -0.3420      -0.9397
     -0.1736      -0.9848
     -0.0000      -1.0000
      0.1736      -0.9848
      0.3420      -0.9397
      0.5000      -0.8660
      0.6428      -0.7660
      0.7660      -0.6428
      0.8660      -0.5000
      0.9397      -0.3420
      0.9848      -0.1736
      1.0000      -0.0000
